,charge,filename,run,stub
551,11136324,clas_038458.A21,038458,21
552,13346068,clas_037740.A02,037740,02
553,12197680,clas_038604.A08,038604,08
554,11946990,clas_038426.A22,038426,22
555,1258524,clas_038472.A24,038472,24
556,9383858,clas_038583.A32,038583,32
557,11066610,clas_038737.A11,038737,11
558,13238980,clas_037818.A05,037818,05
559,3964802,clas_038393.A20,038393,20
560,10933418,clas_038519.A09,038519,09
561,12731434,clas_038075.A13,038075,13
562,10453672,clas_038521.A26,038521,26
563,11287386,clas_038469.A10,038469,10
564,11090738,clas_038746.A12,038746,12
565,12558714,clas_038144.A09,038144,09
566,10885710,clas_037804.A19,037804,19
567,11483802,clas_038200.A14,038200,14
568,10741530,clas_038573.A01,038573,01
569,10947328,clas_038461.A13,038461,13
570,12274094,clas_038385.A18,038385,18
571,5793752,clas_038513.A31,038513,31
572,13713630,clas_038305.A13,038305,13
573,11042528,clas_038630.A06,038630,06
574,11655850,clas_038214.A19,038214,19
575,12621276,clas_038317.A13,038317,13
576,8609288,clas_038363.A01,038363,01
577,11029906,clas_038620.A15,038620,15
578,10568282,clas_038523.A27,038523,27
579,11042518,clas_038743.A02,038743,02
580,12908560,clas_038273.A15,038273,15
581,12789996,clas_037844.A05,037844,05
582,11436894,clas_038470.A01,038470,01
583,4074366,clas_038652.A22,038652,22
584,14138180,clas_037679.A03,037679,03
585,11724042,clas_038612.A04,038612,04
586,11049398,clas_038627.A15,038627,15
587,10672106,clas_038631.A11,038631,11
588,12451648,clas_038443.A19,038443,19
589,10834714,clas_038534.A16,038534,16
590,12093018,clas_038140.A15,038140,15
591,12020466,clas_038391.A18,038391,18
592,13130896,clas_037766.A03,037766,03
593,12866958,clas_038265.A08,038265,08
594,12214046,clas_038174.A19,038174,19
595,13407714,clas_037694.A04,037694,04
596,14675888,clas_038582.A00,038582,00
597,11068616,clas_038707.A05,038707,05
598,12176592,clas_038342.A05,038342,05
599,19020462,clas_038730.A04,038730,04
600,11682254,clas_038693.A01,038693,01
601,13910538,clas_037673.A03,037673,03
602,12799432,clas_038317.A19,038317,19
603,11954640,clas_038672.A14,038672,14
604,10671650,clas_038281.A01,038281,01
605,3594420,clas_037843.A00,037843,00
606,11834056,clas_038443.A07,038443,07
607,78226704,clas_037856.A07,037856,07
608,10801520,clas_038551.A00,038551,00
609,13236992,clas_038275.A17,038275,17
610,8483900,clas_038666.A08,038666,08
611,11013166,clas_038693.A11,038693,11
612,12290964,clas_038208.A14,038208,14
613,10677320,clas_038744.A03,038744,03
614,12596126,clas_038284.A07,038284,07
615,12322118,clas_038412.A00,038412,00
616,13076274,clas_037851.A07,037851,07
617,10654382,clas_038493.A02,038493,02
618,461820,clas_038085.A21,038085,21
619,12190720,clas_038397.A09,038397,09
620,10816524,clas_038508.A20,038508,20
621,11316948,clas_038465.A11,038465,11
622,8157598,clas_037675.A19,037675,19
623,11892548,clas_038670.A10,038670,10
624,10979224,clas_038715.A06,038715,06
625,15586414,clas_037665.A10,037665,10
626,11477036,clas_038172.A14,038172,14
627,12376832,clas_038203.A13,038203,13
628,11371284,clas_038475.A01,038475,01
629,10954510,clas_038513.A13,038513,13
630,10150366,clas_038484.A15,038484,15
631,12026520,clas_038359.A02,038359,02
632,12585214,clas_038078.A16,038078,16
633,15851134,clas_038303.A11,038303,11
634,10422842,clas_038746.A19,038746,19
635,0,clas_038145.A03,038145,03
636,12280560,clas_038134.A01,038134,01
637,12595280,clas_038277.A18,038277,18
638,11431398,clas_038646.A07,038646,07
639,12740768,clas_037807.A13,037807,13
640,10568006,clas_038523.A26,038523,26
641,10877718,clas_038549.A28,038549,28
642,10758600,clas_038622.A05,038622,05
643,11637230,clas_038601.A06,038601,06
644,10845732,clas_038687.A22,038687,22
645,13854798,clas_037680.A08,037680,08
646,9419730,clas_037782.A19,037782,19
647,12062822,clas_038278.A13,038278,13
648,12114568,clas_038195.A02,038195,02
649,11196578,clas_038687.A12,038687,12
650,11478002,clas_038600.A06,038600,06
651,10449018,clas_038529.A23,038529,23
652,8772560,clas_038664.A10,038664,10
653,12776418,clas_037750.A00,037750,00
654,12175466,clas_038381.A13,038381,13
655,11397560,clas_038645.A00,038645,00
656,11466256,clas_038649.A15,038649,15
657,11277446,clas_038543.A10,038543,10
658,11796736,clas_038608.A18,038608,18
659,10564784,clas_038625.A25,038625,25
660,13709378,clas_037691.A00,037691,00
661,10575774,clas_038562.A20,038562,20
662,11025618,clas_038451.A14,038451,14
663,10614582,clas_038597.A03,038597,03
664,13947722,clas_038337.A15,038337,15
665,13389390,clas_037661.A00,037661,00
666,11004026,clas_038721.A09,038721,09
667,13132664,clas_038074.A04,038074,04
668,13189152,clas_038048.A08,038048,08
669,13335612,clas_037785.A12,037785,12
670,11455350,clas_038561.A14,038561,14
671,10672996,clas_038724.A01,038724,01
672,11040324,clas_038551.A02,038551,02
673,12806788,clas_037809.A02,037809,02
674,12143088,clas_038117.A08,038117,08
675,11180036,clas_038571.A13,038571,13
676,10929452,clas_038472.A17,038472,17
677,11967152,clas_038206.A18,038206,18
678,8120000,clas_038665.A26,038665,26
679,12614884,clas_038342.A08,038342,08
680,11739714,clas_038478.A02,038478,02
681,10813102,clas_038549.A12,038549,12
682,11354430,clas_038510.A17,038510,17
683,13539860,clas_037704.A00,037704,00
684,194003200,clas_038111.A03,038111,03
685,3639694,clas_038379.A20,038379,20
686,10737998,clas_038573.A18,038573,18
687,11839710,clas_038544.A15,038544,15
688,12019658,clas_038096.A04,038096,04
689,12532350,clas_038275.A19,038275,19
690,10991180,clas_038628.A18,038628,18
691,10878782,clas_038456.A09,038456,09
692,10966188,clas_038641.A05,038641,05
693,13713360,clas_037701.A04,037701,04
694,9462564,clas_038659.A06,038659,06
695,10811012,clas_038519.A02,038519,02
